Dataset,Classifier,Algorithm,Runs,AccuracyMean,AccuracyStd,PrecisionMean,PrecisionStd,RecallMean,RecallStd,F1Mean,F1Std,AUCMean,AUCStd,FeaturesMean,FeaturesStd,RuntimeMean,RuntimeStd
heart,random_forest,GA,5,0.782608695652174,0.012745694999520185,0.8297571215163746,0.007001201683477141,0.7647058823529411,0.0229922341167815,0.7957870734064882,0.014189142727214573,0.8642754662840746,0.010933582348743207,13.2,2.16794833886788,65.92591170979995,0.33676356001398344
heart,random_forest,GWO,5,0.7978260869565217,0.015080909701643028,0.8417287801892204,0.010784429413898103,0.7823529411764706,0.022356380884296853,0.8108703080925015,0.015639711323752855,0.8678981348637016,0.007896552335725478,17.6,0.8944271909999163,73.75549570399998,0.581584031108791
heart,random_forest,PSO,5,0.8054347826086957,0.016484511834894716,0.8444938347824597,0.022693936337955238,0.7960784313725491,0.012782749814122864,0.8194451405603764,0.014016635233222422,0.8696676231468198,0.013995890610685072,15.2,1.9235384061671343,69.34978373520008,0.06537635665319648
heart,random_forest,WOA,5,0.7923913043478261,0.011782327928629825,0.8344809428429596,0.013961295973600374,0.7803921568627451,0.008768894029410909,0.8065078223491756,0.010368022759456051,0.8729435676709709,0.006086796933776439,19.6,2.5099800796022262,73.64040700580009,0.2828609113757316
heart,svm,Baseline,1,0.7934782608695652,,0.82,,0.803921568627451,,0.8118811881188119,,0.8858201817312291,,25.0,,0.0257160579999435,
heart,svm,CSA,5,0.8010869565217391,0.008242255917447334,0.8441815976110488,0.005629012520934612,0.7862745098039217,0.010739657990297405,0.8141907001225348,0.008303319376888673,0.8889048302247728,0.0041038878601791775,16.0,1.4142135623730951,4.835631783800091,0.0779883488408092
heart,svm,GA,5,0.7978260869565217,0.0024305086711954417,0.8375940865810527,0.005955723142572304,0.7882352941176471,0.011178190442148421,0.8120957361963678,0.003681794552052437,0.8823170731707316,0.009245012785475303,13.0,1.224744871391589,4.178319828199892,0.020340245666332166
heart,svm,GWO,5,0.7934782608695652,0.0066562221271281915,0.8405384923358499,0.010837726788753487,0.7745098039215687,0.0,0.8061475032903604,0.005011958159952846,0.8904591104734576,0.0016182615318688573,19.0,2.1213203435596424,4.86371388860025,0.040747955198128044
heart,svm,PSO,5,0.7945652173913043,0.0024305086711954417,0.8324775071318851,0.00994125912255823,0.788235294117647,0.008768894029410909,0.8096674436674437,0.0008938785251179128,0.8845289335246294,0.0058830333247012305,13.6,1.3416407864998738,4.508034288800081,0.037905746709168624
heart,svm,WOA,5,0.7956521739130434,0.008242255917447398,0.8383116488303453,0.010282377183004827,0.7823529411764706,0.00820254927974581,0.809336166384643,0.007407138031197774,0.8908177905308465,0.004218114074739497,17.2,1.0954451150103326,4.820123273400168,0.02955627313034299
heart,xgboost,Baseline,1,0.7880434782608695,,0.8247422680412371,,0.7843137254901961,,0.8040201005025126,,0.8908417025346724,,25.0,,0.1180107569998654,
heart,xgboost,CSA,5,0.7902173913043479,0.017860518179516272,0.8323401569445501,0.01693038288650032,0.7784313725490196,0.020329844464046825,0.8044165726592144,0.01697555040833856,0.8892515542802487,0.005792741534385272,18.0,1.8708286933869709,21.456221440600167,0.17469207105796142
heart,xgboost,GA,5,0.782608695652174,0.014379083212307521,0.8313238335452331,0.015292459546895664,0.7627450980392156,0.01885821966830524,0.7954551855583076,0.014179753814359368,0.8814562410329986,0.0071403962101609635,13.2,4.024922359499621,20.355288758799997,0.3214572403558233
heart,xgboost,GWO,5,0.7804347826086957,0.012511809166544865,0.8304723507913347,0.011515302170645957,0.7588235294117647,0.014868383223630443,0.793002186169355,0.012402860125133601,0.8858919177427069,0.010381293947060855,18.4,3.0495901363953815,21.654640493400077,0.06209271597290609
heart,xgboost,PSO,5,0.7869565217391303,0.008930259089758108,0.837045187745806,0.011553168855778433,0.7647058823529412,0.01386483884679508,0.7991543701315369,0.00892432971506713,0.8867766618842658,0.006395622931011218,14.8,1.9235384061671346,20.652287035600057,0.47621750564738385
heart,xgboost,WOA,5,0.7836956521739131,0.008061085312060502,0.8246115741756233,0.0052837486834064655,0.7745098039215687,0.012007302660701859,0.7987549580514405,0.008455088483846695,0.8859875657580105,0.005585257522774747,17.0,1.0000000000000002,21.39717969480025,0.038458524427849944
